hotelName,hotelDetail,comment_tag,summary,summery_description,summery_special_tag,summary_score_tag,summary_reviews
宜蘭冬山河檜木民宿,269台灣宜蘭縣冬山鄉大安路180號•+886 932 387 771,"['娛樂娛樂在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '服務服務在 12 則 Google 評論中有提到100% 的評論持正面評價 ', '氣氛氣氛在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '設施設施在 12 則 Google 評論中有提到83% 的評論持正面評價 ', '住宿住宿在 5 則 Google 評論中有提到80% 的評論持正面評價 ', '清潔清潔在 9 則 Google 評論中有提到89% 的評論持正面評價 ', '娛樂娛樂在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '服務服務在 12 則 Google 評論中有提到100% 的評論持正面評價 ', '氣氛氣氛在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '設施設施在 12 則 Google 評論中有提到83% 的評論持正面評價 ', '住宿住宿在 5 則 Google 評論中有提到80% 的評論持正面評價 ', '清潔清潔在 9 則 Google 評論中有提到89% 的評論持正面評價 ']",在 72 則評論中，獲得 4.1 顆星 (滿分為 5 顆星)。很好。,,"['免費停車場 : 在附近類似的飯店中，有 38% 提供免費停車', '地點絕佳 : 房客喜歡這間飯店的地點']","['', '4.1很好\xa0|\xa072 則評論']","['朱桓毅""一樓房間評鑑為1顆星，老闆熱情度再多一顆星， 2樓以上房間空間應該比較推薦吧""', '宜蘭縣民宿協會""老闆人很好，會幫客人介紹很多私房景點&在地美味小吃^^""', 'Scott Channing""老闆超帥,床的百貨高檔獨立筒保護脊椎床墊的民宿。""']"
Xinshe Hotel,No. 59 正義南路 Sanchong DistrictNew 新北市台灣 241,[],在 4 則評論中，獲得 4.3 顆星 (滿分為 5 顆星)。很好。,,[],"['', '4.3很好\xa0|\xa04 則評論']",[]
華倫汽車旅館,432台灣台中市大肚區興和路111號•+886 4 2693 1882,"['設施設施在 13 則 Google 評論中有提到46% 的評論持正面評價 ', '清潔清潔在 8 則 Google 評論中有提到62% 的評論持負面評價 ', '停車場停車場在 5 則 Google 評論中有提到80% 的評論持正面評價 ', '設施設施在 13 則 Google 評論中有提到46% 的評論持正面評價 ', '清潔清潔在 8 則 Google 評論中有提到62% 的評論持負面評價 ', '停車場停車場在 5 則 Google 評論中有提到80% 的評論持正面評價 ']",在 177 則評論中，獲得 3.4 顆星 (滿分為 5 顆星)。一般。,,[],"['', '3.4一般\xa0|\xa0177 則評論']","['方智成""休息住宿兩相宜，國一王田交流道旁，價位中低，經營很久了的店，屬庭園式汽旅。""', '李宜庭""環境不好😩 我都打了七隻蜘蛛了 還有浴室外的地墊都是螞蟻🐜 服務態度不', '唐宜賢""設施尚可但是整體規劃尚有改進空間""']"
安農逸境民宿 Comfort Stay,266台灣宜蘭縣三星鄉五分路二段348 號•+886 968 749 626,"['設施設施在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '早餐早餐在 5 則 Google 評論中有提到100% 的評論持正面評價 ', '清潔清潔在 5 則 Google 評論中有提到100% 的評論持正面評價 ', '設施設施在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '早餐早餐在 5 則 Google 評論中有提到100% 的評論持正面評價 ', '清潔清潔在 5 則 Google 評論中有提到100% 的評論持正面評價 ']",在 31 則評論中，獲得 4.8 顆星 (滿分為 5 顆星)。非常好。,,"['評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '地點絕佳 : 房客喜歡這間飯店的地點']","['', '4.8非常好\xa0|\xa031 則評論']","['Jojo Chou""房子很新，老闆品味非凡，建材跟備品都挑高品质的，1樓客廳像咖啡館，包棟的好選擇""', '洪士評""很棒的住宿體驗 早餐好吃份量夠 環境乾淨又安靜""', '李幸福""老闆娘準備早餐豐盛，住宿品質優質，附近環境適合慢活生活""']"
豐谷大飯店,3 星級飯店台灣澎湖縣馬公市民福路4號880•+886 6 926 3511,"['早餐早餐在 21 則 Google 評論中有提到52% 的評論持正面評價 ', '空調空調在 8 則 Google 評論中有提到62% 的評論持負面評價 ', '設施設施在 11 則 Google 評論中有提到36% 的評論持中立評價 ', '浴室浴室在 8 則 Google 評論中有提到62% 的評論持負面評價 ', '餐廳餐廳在 6 則 Google 評論中有提到83% 的評論持正面評價 ', '服務服務在 33 則 Google 評論中有提到64% 的評論持正面評價 ', '清潔清潔在 30 則 Google 評論中有提到63% 的評論持正面評價 ', '地點地點在 12 則 Google 評論中有提到67% 的評論持正面評價 ', '住宿住宿在 8 則 Google 評論中有提到50% 的評論持負面評價 ', '設施設施在 26 則 Google 評論中有提到62% 的評論持正面評價 ', '早餐早餐在 21 則 Google 評論中有提到52% 的評論持正面評價 ', '空調空調在 8 則 Google 評論中有提到62% 的評論持負面評價 ', '設施設施在 11 則 Google 評論中有提到36% 的評論持中立評價 ', '浴室浴室在 8 則 Google 評論中有提到62% 的評論持負面評價 ', '餐廳餐廳在 6 則 Google 評論中有提到83% 的評論持正面評價 ', '服務服務在 33 則 Google 評論中有提到64% 的評論持正面評價 ', '清潔清潔在 30 則 Google 評論中有提到63% 的評論持正面評價 ', '地點地點在 12 則 Google 評論中有提到67% 的評論持正面評價 ', '住宿住宿在 8 則 Google 評論中有提到50% 的評論持負面評價 ', '設施設施在 26 則 Google 評論中有提到62% 的評論持正面評價 ']",在 239 則評論中，獲得 3.7 顆星 (滿分為 5 顆星)。良好。,,"['靠近大眾運輸站 : 房客很喜歡這間飯店，因為這裡鄰近大眾運輸系統', '地點絕佳 : 房客喜歡這間飯店的地點']","['', '3.7良好\xa0|\xa0239 則評論']","['Chris Ethan""疫情期間早餐是一人一份由餐廳工作人員分配，有豆漿、咖啡、粥跟六盤配菜。""', '莓兒.""很老舊的旅店，該整修了 隔音極差、濕氣很重 房門、床單濕濕的。""', '劉武佴""櫃台小姐服務親切又美麗 房間整理很乾淨 有家的感覺""']"
白蘭山莊,311台灣新竹縣五峰鄉桃山村18鄰白蘭307-2號•+886 3 585 6222,"['大自然大自然在 10 則 Google 評論中有提到100% 的評論持正面評價 ', '大自然大自然在 10 則 Google 評論中有提到100% 的評論持正面評價 ']",在 51 則評論中，獲得 3.7 顆星 (滿分為 5 顆星)。良好。,,[],"['', '3.7良好\xa0|\xa051 則評論']","['王惠芳""有點歷史的民宿，有一個大露台可泡茶""', '查欣寧""房間內不能吃東西，房間門鎖不起來，不附任何毛巾牙刷""', '林子竣""風景很美、老闆娘很用心 餐點都是老闆娘親自煮的、價錢合理""']"
奇異果快捷旅店(高雄九如店),3 星級飯店80764台灣高雄市三民區九如一路790號•+886 7 956 0604,"['停車場停車場在 102 則 Google 評論中有提到59% 的評論持正面評價 ', '早餐早餐在 90 則 Google 評論中有提到53% 的評論持正面評價 ', '家庭料理家庭料理在 32 則 Google 評論中有提到69% 的評論持正面評價 ', '浴室浴室在 91 則 Google 評論中有提到74% 的評論持負面評價 ', '清潔清潔在 154 則 Google 評論中有提到48% 的評論持正面評價 ', '設施設施在 71 則 Google 評論中有提到56% 的評論持負面評價 ', '服務服務在 119 則 Google 評論中有提到57% 的評論持正面評價 ', '住宿住宿在 74 則 Google 評論中有提到58% 的評論持負面評價 ', '餐廳餐廳在 31 則 Google 評論中有提到45% 的評論持正面評價 ', '空調空調在 25 則 Google 評論中有提到60% 的評論持負面評價 ', '地點地點在 53 則 Google 評論中有提到72% 的評論持正面評價 ', '商務設施商務設施在 20 則 Google 評論中有提到60% 的評論持正面評價 ', '設施設施在 131 則 Google 評論中有提到44% 的評論持正面評價 ', 'Wi-FiWi-Fi在 11 則 Google 評論中有提到55% 的評論持正面評價 ', '健身健身在 7 則 Google 評論中有提到57% 的評論持正面評價 ', '廚房廚房在 11 則 Google 評論中有提到45% 的評論持負面評價 ', '酒吧酒吧在 10 則 Google 評論中有提到70% 的評論持正面評價 ', '夜生活夜生活在 8 則 Google 評論中有提到75% 的評論持負面評價 ', '氣氛氣氛在 20 則 Google 評論中有提到90% 的評論持正面評價 ', '無障礙設施無障礙設施在 9 則 Google 評論中有提到67% 的評論持負面評價 ', '大眾運輸大眾運輸在 10 則 Google 評論中有提到40% 的評論持正面評價 ', '娛樂娛樂在 6 則 Google 評論中有提到50% 的評論持正面評價 ', '餐飲餐飲在 9 則 Google 評論中有提到78% 的評論持正面評價 ', '停車場停車場在 102 則 Google 評論中有提到59% 的評論持正面評價 ', '早餐早餐在 90 則 Google 評論中有提到53% 的評論持正面評價 ', '家庭料理家庭料理在 32 則 Google 評論中有提到69% 的評論持正面評價 ', '浴室浴室在 91 則 Google 評論中有提到74% 的評論持負面評價 ', '清潔清潔在 154 則 Google 評論中有提到48% 的評論持正面評價 ', '設施設施在 71 則 Google 評論中有提到56% 的評論持負面評價 ', '服務服務在 119 則 Google 評論中有提到57% 的評論持正面評價 ', '住宿住宿在 74 則 Google 評論中有提到58% 的評論持負面評價 ', '餐廳餐廳在 31 則 Google 評論中有提到45% 的評論持正面評價 ', '空調空調在 25 則 Google 評論中有提到60% 的評論持負面評價 ', '地點地點在 53 則 Google 評論中有提到72% 的評論持正面評價 ', '商務設施商務設施在 20 則 Google 評論中有提到60% 的評論持正面評價 ', '設施設施在 131 則 Google 評論中有提到44% 的評論持正面評價 ', 'Wi-FiWi-Fi在 11 則 Google 評論中有提到55% 的評論持正面評價 ', '健身健身在 7 則 Google 評論中有提到57% 的評論持正面評價 ', '廚房廚房在 11 則 Google 評論中有提到45% 的評論持負面評價 ', '酒吧酒吧在 10 則 Google 評論中有提到70% 的評論持正面評價 ', '夜生活夜生活在 8 則 Google 評論中有提到75% 的評論持負面評價 ', '氣氛氣氛在 20 則 Google 評論中有提到90% 的評論持正面評價 ', '無障礙設施無障礙設施在 9 則 Google 評論中有提到67% 的評論持負面評價 ', '大眾運輸大眾運輸在 10 則 Google 評論中有提到40% 的評論持正面評價 ', '娛樂娛樂在 6 則 Google 評論中有提到50% 的評論持正面評價 ', '餐飲餐飲在 9 則 Google 評論中有提到78% 的評論持正面評價 ']","在 1,167 則評論中，獲得 3.8 顆星 (滿分為 5 顆星)。良好。",,[],"['', '3.8良好\xa0|\xa01,167 則評論']","['四十五號的世界no45bnb""一樓空間舒服，旅館旁邊有室內停車與機車停車，提供單車服務。""', '黃冠綾""樓有戲水池，隔壁就是哺乳衣專賣店、麥當勞、科工館，根本衝著家長及孩子們設計的樂園""', '陳淑美""停車場要收費 早餐又很爛 服務態度也很差 走道還很多死蟑螂 不會在去了😡']"
清新溫泉飯店,5 星級飯店414台灣台中市烏日區溫泉路2號•+886 4 2382 9888,"['氣氛氣氛在 99 則 Google 評論中有提到90% 的評論持正面評價 ', '夫妻/情侶夫妻/情侶在 50 則 Google 評論中有提到92% 的評論持正面評價 ', '大自然大自然在 145 則 Google 評論中有提到82% 的評論持正面評價 ', '家庭料理家庭料理在 146 則 Google 評論中有提到73% 的評論持正面評價 ', '游泳池游泳池在 146 則 Google 評論中有提到75% 的評論持正面評價 ', '商務設施商務設施在 24 則 Google 評論中有提到62% 的評論持正面評價 ', '設施設施在 335 則 Google 評論中有提到69% 的評論持正面評價 ', '餐飲餐飲在 310 則 Google 評論中有提到67% 的評論持正面評價 ', '美容/按摩服務美容/按摩服務在 109 則 Google 評論中有提到71% 的評論持正面評價 ', '酒吧酒吧在 90 則 Google 評論中有提到73% 的評論持正面評價 ', '健康與保健健康與保健在 126 則 Google 評論中有提到67% 的評論持正面評價 ', '健身健身在 245 則 Google 評論中有提到64% 的評論持正面評價 ', '早餐早餐在 168 則 Google 評論中有提到62% 的評論持正面評價 ', '地點地點在 116 則 Google 評論中有提到60% 的評論持正面評價 ', '健身房健身房在 19 則 Google 評論中有提到68% 的評論持正面評價 ', '服務服務在 374 則 Google 評論中有提到62% 的評論持正面評價 ', '浴室浴室在 252 則 Google 評論中有提到46% 的評論持正面評價 ', '清潔清潔在 243 則 Google 評論中有提到53% 的評論持正面評價 ', '設施設施在 204 則 Google 評論中有提到58% 的評論持正面評價 ', '住宿住宿在 132 則 Google 評論中有提到57% 的評論持負面評價 ', '停車場停車場在 80 則 Google 評論中有提到58% 的評論持正面評價 ', '餐廳餐廳在 73 則 Google 評論中有提到55% 的評論持正面評價 ', '廚房廚房在 48 則 Google 評論中有提到46% 的評論持負面評價 ', '夜生活夜生活在 35 則 Google 評論中有提到60% 的評論持正面評價 ', '大眾運輸大眾運輸在 17 則 Google 評論中有提到47% 的評論持負面評價 ', '安全安全在 9 則 Google 評論中有提到56% 的評論持負面評價 ', '娛樂娛樂在 21 則 Google 評論中有提到67% 的評論持負面評價 ', '無障礙設施無障礙設施在 23 則 Google 評論中有提到65% 的評論持負面評價 ', '空調空調在 43 則 Google 評論中有提到72% 的評論持負面評價 ', '氣氛氣氛在 99 則 Google 評論中有提到90% 的評論持正面評價 ', '夫妻/情侶夫妻/情侶在 50 則 Google 評論中有提到92% 的評論持正面評價 ', '大自然大自然在 145 則 Google 評論中有提到82% 的評論持正面評價 ', '家庭料理家庭料理在 146 則 Google 評論中有提到73% 的評論持正面評價 ', '游泳池游泳池在 146 則 Google 評論中有提到75% 的評論持正面評價 ', '商務設施商務設施在 24 則 Google 評論中有提到62% 的評論持正面評價 ', '設施設施在 335 則 Google 評論中有提到69% 的評論持正面評價 ', '餐飲餐飲在 310 則 Google 評論中有提到67% 的評論持正面評價 ', '美容/按摩服務美容/按摩服務在 109 則 Google 評論中有提到71% 的評論持正面評價 ', '酒吧酒吧在 90 則 Google 評論中有提到73% 的評論持正面評價 ', '健康與保健健康與保健在 126 則 Google 評論中有提到67% 的評論持正面評價 ', '健身健身在 245 則 Google 評論中有提到64% 的評論持正面評價 ', '早餐早餐在 168 則 Google 評論中有提到62% 的評論持正面評價 ', '地點地點在 116 則 Google 評論中有提到60% 的評論持正面評價 ', '健身房健身房在 19 則 Google 評論中有提到68% 的評論持正面評價 ', '服務服務在 374 則 Google 評論中有提到62% 的評論持正面評價 ', '浴室浴室在 252 則 Google 評論中有提到46% 的評論持正面評價 ', '清潔清潔在 243 則 Google 評論中有提到53% 的評論持正面評價 ', '設施設施在 204 則 Google 評論中有提到58% 的評論持正面評價 ', '住宿住宿在 132 則 Google 評論中有提到57% 的評論持負面評價 ', '停車場停車場在 80 則 Google 評論中有提到58% 的評論持正面評價 ', '餐廳餐廳在 73 則 Google 評論中有提到55% 的評論持正面評價 ', '廚房廚房在 48 則 Google 評論中有提到46% 的評論持負面評價 ', '夜生活夜生活在 35 則 Google 評論中有提到60% 的評論持正面評價 ', '大眾運輸大眾運輸在 17 則 Google 評論中有提到47% 的評論持負面評價 ', '安全安全在 9 則 Google 評論中有提到56% 的評論持負面評價 ', '娛樂娛樂在 21 則 Google 評論中有提到67% 的評論持負面評價 ', '無障礙設施無障礙設施在 23 則 Google 評論中有提到65% 的評論持負面評價 ', '空調空調在 43 則 Google 評論中有提到72% 的評論持負面評價 ']","在 5,472 則評論中，獲得 4.1 顆星 (滿分為 5 顆星)。很好。",,"['免費停車場 : 在附近類似的飯店中，有 85% 提供免費停車', '受情侶歡迎 : 夫妻/情侶很喜歡這間飯店']","['', '4.1很好\xa0|\xa05,472 則評論']","['Chen-Ju Lin""公園綠地設計很好，小孩喜歡泳池及SPA，房間裡的溫泉池也很棒""', 'Unknown ET""環境衛生不及格 比三星商旅還爛 早餐餐廳天花板很矮 陽春型中餐廳 食材普通""', '鍾宇明""條的蛋糕，照你自己喜歡的份量來切。飲料一樣也沒有少，咖啡丶熱茶丶汽水甚至有啤酒。""']"
就這兒 民宿 Here B&B,3 星級飯店880台灣澎湖縣馬公市永興街6號•+886 6 926 0448,"['地點地點在 37 則 Google 評論中有提到92% 的評論持正面評價 ', '餐飲餐飲在 10 則 Google 評論中有提到100% 的評論持正面評價 ', '住宿住宿在 14 則 Google 評論中有提到71% 的評論持正面評價 ', '早餐早餐在 11 則 Google 評論中有提到91% 的評論持正面評價 ', '浴室浴室在 7 則 Google 評論中有提到43% 的評論持負面評價 ', '餐廳餐廳在 6 則 Google 評論中有提到83% 的評論持正面評價 ', '服務服務在 34 則 Google 評論中有提到88% 的評論持正面評價 ', '大眾運輸大眾運輸在 6 則 Google 評論中有提到83% 的評論持正面評價 ', '清潔清潔在 26 則 Google 評論中有提到88% 的評論持正面評價 ', '設施設施在 23 則 Google 評論中有提到78% 的評論持正面評價 ', '氣氛氣氛在 5 則 Google 評論中有提到100% 的評論持正面評價 ', '地點地點在 37 則 Google 評論中有提到92% 的評論持正面評價 ', '餐飲餐飲在 10 則 Google 評論中有提到100% 的評論持正面評價 ', '住宿住宿在 14 則 Google 評論中有提到71% 的評論持正面評價 ', '早餐早餐在 11 則 Google 評論中有提到91% 的評論持正面評價 ', '浴室浴室在 7 則 Google 評論中有提到43% 的評論持負面評價 ', '餐廳餐廳在 6 則 Google 評論中有提到83% 的評論持正面評價 ', '服務服務在 34 則 Google 評論中有提到88% 的評論持正面評價 ', '大眾運輸大眾運輸在 6 則 Google 評論中有提到83% 的評論持正面評價 ', '清潔清潔在 26 則 Google 評論中有提到88% 的評論持正面評價 ', '設施設施在 23 則 Google 評論中有提到78% 的評論持正面評價 ', '氣氛氣氛在 5 則 Google 評論中有提到100% 的評論持正面評價 ']",在 110 則評論中，獲得 4.7 顆星 (滿分為 5 顆星)。非常好。,,"['評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '餐廳 : 在附近類似的飯店中，只有 14% 設有餐廳', '地點絕佳 : 房客喜歡這間飯店的地點', '睡得很安穩 : 房客表示他們在這間飯店睡得很好', '奢華風格 : 房客喜歡這間飯店的奢華氛圍', '服務親切 : 房客喜歡這間飯店的服務']","['', '4.7非常好\xa0|\xa0110 則評論']","['王瑞琪""房間舒適，位於市中心，交通方便，到各景點，餐廳吃飯走路就能到。極推推""', '翁明瀚""服務親切，一樓公共空間寬敞有設計感，交通方便，就在市區裡""', '滕學汶""地點方便，房問乾淨、漂亮，老闆及老闆娘服務很棒!!!!""']"
台南大員皇冠假日酒店,"5 星級飯店No. 289, Zhouping Road, 安平區台南市台灣 70841•+886 6 391 1899","['氣氛氣氛在 197 則 Google 評論中有提到94% 的評論持正面評價 ', '大自然大自然在 104 則 Google 評論中有提到90% 的評論持正面評價 ', '設施設施在 554 則 Google 評論中有提到87% 的評論持正面評價 ', '餐廳餐廳在 119 則 Google 評論中有提到84% 的評論持正面評價 ', '游泳池游泳池在 71 則 Google 評論中有提到90% 的評論持正面評價 ', '健身房健身房在 47 則 Google 評論中有提到91% 的評論持正面評價 ', '早餐早餐在 258 則 Google 評論中有提到83% 的評論持正面評價 ', '服務服務在 553 則 Google 評論中有提到82% 的評論持正面評價 ', '夫妻/情侶夫妻/情侶在 25 則 Google 評論中有提到76% 的評論持正面評價 ', '設施設施在 194 則 Google 評論中有提到78% 的評論持正面評價 ', '健身健身在 118 則 Google 評論中有提到83% 的評論持正面評價 ', '清潔清潔在 175 則 Google 評論中有提到80% 的評論持正面評價 ', '餐飲餐飲在 300 則 Google 評論中有提到75% 的評論持正面評價 ', '家庭料理家庭料理在 95 則 Google 評論中有提到75% 的評論持正面評價 ', '美容/按摩服務美容/按摩服務在 45 則 Google 評論中有提到80% 的評論持正面評價 ', '夜生活夜生活在 17 則 Google 評論中有提到76% 的評論持正面評價 ', '停車場停車場在 51 則 Google 評論中有提到69% 的評論持正面評價 ', '健康與保健健康與保健在 52 則 Google 評論中有提到73% 的評論持正面評價 ', '住宿住宿在 126 則 Google 評論中有提到66% 的評論持正面評價 ', '地點地點在 230 則 Google 評論中有提到64% 的評論持正面評價 ', '酒吧酒吧在 96 則 Google 評論中有提到67% 的評論持正面評價 ', '商務設施商務設施在 31 則 Google 評論中有提到61% 的評論持正面評價 ', '浴室浴室在 115 則 Google 評論中有提到55% 的評論持正面評價 ', '廚房廚房在 35 則 Google 評論中有提到37% 的評論持正面評價 ', '無障礙設施無障礙設施在 26 則 Google 評論中有提到62% 的評論持正面評價 ', '娛樂娛樂在 24 則 Google 評論中有提到54% 的評論持正面評價 ', '大眾運輸大眾運輸在 22 則 Google 評論中有提到50% 的評論持正面評價 ', '空調空調在 15 則 Google 評論中有提到53% 的評論持負面評價 ', '安全安全在 8 則 Google 評論中有提到88% 的評論持正面評價 ', 'Wi-FiWi-Fi在 6 則 Google 評論中有提到50% 的評論持負面評價 ', '氣氛氣氛在 197 則 Google 評論中有提到94% 的評論持正面評價 ', '大自然大自然在 104 則 Google 評論中有提到90% 的評論持正面評價 ', '設施設施在 554 則 Google 評論中有提到87% 的評論持正面評價 ', '餐廳餐廳在 119 則 Google 評論中有提到84% 的評論持正面評價 ', '游泳池游泳池在 71 則 Google 評論中有提到90% 的評論持正面評價 ', '健身房健身房在 47 則 Google 評論中有提到91% 的評論持正面評價 ', '早餐早餐在 258 則 Google 評論中有提到83% 的評論持正面評價 ', '服務服務在 553 則 Google 評論中有提到82% 的評論持正面評價 ', '夫妻/情侶夫妻/情侶在 25 則 Google 評論中有提到76% 的評論持正面評價 ', '設施設施在 194 則 Google 評論中有提到78% 的評論持正面評價 ', '健身健身在 118 則 Google 評論中有提到83% 的評論持正面評價 ', '清潔清潔在 175 則 Google 評論中有提到80% 的評論持正面評價 ', '餐飲餐飲在 300 則 Google 評論中有提到75% 的評論持正面評價 ', '家庭料理家庭料理在 95 則 Google 評論中有提到75% 的評論持正面評價 ', '美容/按摩服務美容/按摩服務在 45 則 Google 評論中有提到80% 的評論持正面評價 ', '夜生活夜生活在 17 則 Google 評論中有提到76% 的評論持正面評價 ', '停車場停車場在 51 則 Google 評論中有提到69% 的評論持正面評價 ', '健康與保健健康與保健在 52 則 Google 評論中有提到73% 的評論持正面評價 ', '住宿住宿在 126 則 Google 評論中有提到66% 的評論持正面評價 ', '地點地點在 230 則 Google 評論中有提到64% 的評論持正面評價 ', '酒吧酒吧在 96 則 Google 評論中有提到67% 的評論持正面評價 ', '商務設施商務設施在 31 則 Google 評論中有提到61% 的評論持正面評價 ', '浴室浴室在 115 則 Google 評論中有提到55% 的評論持正面評價 ', '廚房廚房在 35 則 Google 評論中有提到37% 的評論持正面評價 ', '無障礙設施無障礙設施在 26 則 Google 評論中有提到62% 的評論持正面評價 ', '娛樂娛樂在 24 則 Google 評論中有提到54% 的評論持正面評價 ', '大眾運輸大眾運輸在 22 則 Google 評論中有提到50% 的評論持正面評價 ', '空調空調在 15 則 Google 評論中有提到53% 的評論持負面評價 ', '安全安全在 8 則 Google 評論中有提到88% 的評論持正面評價 ', 'Wi-FiWi-Fi在 6 則 Google 評論中有提到50% 的評論持負面評價 ']","在 4,216 則評論中，獲得 4.4 顆星 (滿分為 5 顆星)。很好。",,[],"['', '4.4很好\xa0|\xa04,216 則評論']","['Lauren Liu""新飯店 房間和設施都沒問題，但是早中晚餐含自助餐的菜色及口味，進步的空間很大""', 'JOE CHEN""平日午餐半自助主餐份量少,沙拉吧沒啥可吃，唯一肉是蔥爆豬肉超鹹""', '陳蘭香""服務親切，C P值不錯，甜點種類繁多精緻，餐區很寬廣，但油煙機聲音很吵 ，美中不足""']"
漾品屋民宿,3 星級飯店970台灣花蓮縣花蓮市民權九街3號,"['設施設施在 7 則 Google 評論中有提到100% 的評論持正面評價 ', '設施設施在 7 則 Google 評論中有提到100% 的評論持正面評價 ']",在 32 則評論中，獲得 4.3 顆星 (滿分為 5 顆星)。很好。,,[],"['', '4.3很好\xa0|\xa032 則評論']","['Haber Cheng""老闆親切，有家的感覺。雖然不提供早餐喔，但臨近地區有一堆特色餐飲店""', 'Anita Wu""視野很好，附近算是花蓮市區很優美的區域，周遭環境很好，老闆娘也很親切""', 'Yuki Tu""環境乾淨、舒適、美觀，真的太棒了，會推薦給朋友。""']"
桔子商旅西門店(防疫旅館),3 星級飯店108台灣台北市萬華區中華路一段166-2號•+886 2 2311 5556,"['早餐早餐在 40 則 Google 評論中有提到58% 的評論持正面評價 ', 'Wi-FiWi-Fi在 18 則 Google 評論中有提到83% 的評論持正面評價 ', '地點地點在 90 則 Google 評論中有提到79% 的評論持正面評價 ', '服務服務在 86 則 Google 評論中有提到90% 的評論持正面評價 ', '餐廳餐廳在 23 則 Google 評論中有提到70% 的評論持正面評價 ', '大眾運輸大眾運輸在 31 則 Google 評論中有提到77% 的評論持正面評價 ', '酒吧酒吧在 17 則 Google 評論中有提到65% 的評論持正面評價 ', '餐飲餐飲在 26 則 Google 評論中有提到69% 的評論持正面評價 ', '設施設施在 35 則 Google 評論中有提到69% 的評論持正面評價 ', '設施設施在 93 則 Google 評論中有提到70% 的評論持正面評價 ', '浴室浴室在 45 則 Google 評論中有提到42% 的評論持負面評價 ', '商務設施商務設施在 12 則 Google 評論中有提到92% 的評論持正面評價 ', '娛樂娛樂在 11 則 Google 評論中有提到82% 的評論持正面評價 ', '清潔清潔在 63 則 Google 評論中有提到81% 的評論持正面評價 ', '大自然大自然在 5 則 Google 評論中有提到40% 的評論持正面評價 ', '安全安全在 5 則 Google 評論中有提到100% 的評論持正面評價 ', '無障礙設施無障礙設施在 10 則 Google 評論中有提到50% 的評論持正面評價 ', '住宿住宿在 34 則 Google 評論中有提到44% 的評論持正面評價 ', '廚房廚房在 7 則 Google 評論中有提到71% 的評論持正面評價 ', '家庭料理家庭料理在 6 則 Google 評論中有提到67% 的評論持正面評價 ', '空調空調在 8 則 Google 評論中有提到50% 的評論持正面評價 ', '氣氛氣氛在 11 則 Google 評論中有提到100% 的評論持正面評價 ', '早餐早餐在 40 則 Google 評論中有提到58% 的評論持正面評價 ', 'Wi-FiWi-Fi在 18 則 Google 評論中有提到83% 的評論持正面評價 ', '地點地點在 90 則 Google 評論中有提到79% 的評論持正面評價 ', '服務服務在 86 則 Google 評論中有提到90% 的評論持正面評價 ', '餐廳餐廳在 23 則 Google 評論中有提到70% 的評論持正面評價 ', '大眾運輸大眾運輸在 31 則 Google 評論中有提到77% 的評論持正面評價 ', '酒吧酒吧在 17 則 Google 評論中有提到65% 的評論持正面評價 ', '餐飲餐飲在 26 則 Google 評論中有提到69% 的評論持正面評價 ', '設施設施在 35 則 Google 評論中有提到69% 的評論持正面評價 ', '設施設施在 93 則 Google 評論中有提到70% 的評論持正面評價 ', '浴室浴室在 45 則 Google 評論中有提到42% 的評論持負面評價 ', '商務設施商務設施在 12 則 Google 評論中有提到92% 的評論持正面評價 ', '娛樂娛樂在 11 則 Google 評論中有提到82% 的評論持正面評價 ', '清潔清潔在 63 則 Google 評論中有提到81% 的評論持正面評價 ', '大自然大自然在 5 則 Google 評論中有提到40% 的評論持正面評價 ', '安全安全在 5 則 Google 評論中有提到100% 的評論持正面評價 ', '無障礙設施無障礙設施在 10 則 Google 評論中有提到50% 的評論持正面評價 ', '住宿住宿在 34 則 Google 評論中有提到44% 的評論持正面評價 ', '廚房廚房在 7 則 Google 評論中有提到71% 的評論持正面評價 ', '家庭料理家庭料理在 6 則 Google 評論中有提到67% 的評論持正面評價 ', '空調空調在 8 則 Google 評論中有提到50% 的評論持正面評價 ', '氣氛氣氛在 11 則 Google 評論中有提到100% 的評論持正面評價 ']",在 406 則評論中，獲得 4.3 顆星 (滿分為 5 顆星)。很好。,,"['免費 Wi-Fi : 在附近類似的飯店中，有 71% 免費提供 Wi-Fi', '優質房型 : 房客喜歡這間飯店的客房', '地點絕佳 : 房客喜歡這間飯店的地點', '奢華風格 : 房客喜歡這間飯店的奢華氛圍', '服務親切 : 房客喜歡這間飯店的服務']","['', '4.3很好\xa0|\xa0406 則評論']","['Shao-ting Hong""房間有小冰箱跟熱水壺，可以自己點外賣生鮮送牛奶或水果冰著。""', 'Laputa\'s Guide""衛生環境還可以 但隔音實在太差 隔壁的房間只是放行李箱，吹頭髮也很能聽到""', 'J T""地點好交通方便的住宿點，房間部分小巧實在，推薦來西門町住宿的一個好選擇！""']"
